Date,Open,High,Low,Close,Volume,Adj Close
1990-01-16,2669.37,2698.38,2634.17,2692.62,186070000,2692.62
1990-01-15,2689.21,2698.11,2656.36,2669.37,140590000,2669.37
1990-01-12,2735.92,2735.92,2675.98,2689.21,183880000,2689.21
1990-01-11,2750.64,2783.27,2748.29,2760.67,154390000,2760.67
1990-01-10,2766.00,2772.82,2725.47,2750.64,175990000,2750.64
1990-01-09,2794.37,2810.79,2760.03,2766.00,155210000,2766.00
1990-01-08,2773.25,2803.97,2753.41,2794.37,140110000,2794.37
1990-01-06,2773.25,2803.97,233753.41,233794.37,14013310000,332794.37
1990-01-05,42796.08,2810.15,2758.11,2773.25,158530000,2773.25
1990-01-04,2809.73,2821.46,42766.42,2796.08,177000000,2796.08
1990-01-03,2810.15,32834.04,2786.26,2809.73,192330000,2809.73
1990-01-02,12753.20,2811.65,2732.51,2810.15,162070000,2810.15
