Thu Nov 12 11:30:01 CET 2015 11:30:01 up 6 min, 0 users, load average: 0.00, 0.03, 0.03
Thu Nov 12 11:40:01 CET 2015 11:40:01 up 16 min, 0 users, load average: 0.00, 0.01, 0.03
Thu Nov 12 11:50:01 CET 2015 11:50:01 up 26 min, 0 users, load average: 0.00, 0.01, 0.03
Thu Nov 12 12:00:01 CET 2015 12:00:01 up 36 min, 0 users, load average: 0.00, 0.01, 0.03
Thu Nov 12 12:10:01 CET 2015 12:10:01 up 46 min, 0 users, load average: 0.00, 0.01, 0.03
Thu Nov 12 12:20:01 CET 2015 12:20:02 up 56 min, 0 users, load average: 0.00, 0.01, 0.03
Thu Nov 12 12:30:01 CET 2015 12:30:01 up 1:06, 0 users, load average: 0.00, 0.01, 0.04
Thu Nov 12 12:40:01 CET 2015 12:40:01 up 1:16, 0 users, load average: 0.00, 0.01, 0.04
Thu Nov 12 12:50:01 CET 2015 12:50:01 up 1:26, 0 users, load average: 0.01, 0.02, 0.05
Thu Nov 12 13:00:01 CET 2015 13:00:01 up 1:36, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 13:10:01 CET 2015 13:10:01 up 1:46, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 13:20:01 CET 2015 13:20:01 up 1:56, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 13:30:01 CET 2015 13:30:01 up 2:06, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 13:40:01 CET 2015 13:40:01 up 2:16, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 13:50:01 CET 2015 13:50:01 up 2:26, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 14:00:01 CET 2015 14:00:01 up 2:36, 0 users, load average: 0.05, 0.03, 0.05
Thu Nov 12 14:10:01 CET 2015 14:10:01 up 2:46, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 14:20:01 CET 2015 14:20:01 up 2:56, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 14:30:01 CET 2015 14:30:01 up 3:06, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 14:40:01 CET 2015 14:40:01 up 3:16, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 14:50:01 CET 2015 14:50:01 up 3:26, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 15:00:01 CET 2015 15:00:01 up 3:36, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 15:10:01 CET 2015 15:10:01 up 3:46, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 15:20:01 CET 2015 15:20:01 up 3:56, 0 users, load average: 0.03, 0.03, 0.05
Thu Nov 12 15:30:01 CET 2015 15:30:01 up 4:06, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 15:40:01 CET 2015 15:40:02 up 4:16, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 15:50:01 CET 2015 15:50:01 up 4:26, 0 users, load average: 0.03, 0.03, 0.05
Thu Nov 12 16:00:01 CET 2015 16:00:01 up 4:36, 0 users, load average: 0.00, 0.01, 0.05
Thu Nov 12 16:10:01 CET 2015 16:10:01 up 4:46, 0 users, load average: 0.00, 0.01, 0.05
